,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
1,riyadh,24.6877,46.7219,55.4,44.0,0.0,3.02,SA,1613011416.0
2,anchorage,61.2181,-149.9003,17.6,67.0,75.0,5.75,US,1613011511.0
3,kazerun,29.6195,51.6541,55.22,40.0,100.0,0.87,IR,1613011681.0
4,mar del plata,-38.0023,-57.5575,68.0,83.0,90.0,16.11,AR,1613011344.0
5,ushuaia,-54.8,-68.3,66.2,45.0,40.0,13.8,AR,1613011684.0
6,vardo,70.3705,31.1107,24.33,86.0,100.0,13.35,NO,1613011405.0
7,bambanglipuro,-7.95,110.2833,82.81,76.0,80.0,9.15,ID,1613011687.0
8,azangaro,-14.9167,-70.2167,42.67,87.0,100.0,2.8,PE,1613011479.0
9,sao joao da barra,-21.6403,-41.0511,74.55,89.0,95.0,2.26,BR,1613011483.0
10,puerto ayora,-0.7393,-90.3518,75.0,99.0,76.0,5.41,EC,1613011101.0
11,qaanaaq,77.484,-69.3632,10.18,76.0,97.0,10.96,GL,1613011499.0
12,rikitea,-23.1203,-134.9692,78.48,78.0,3.0,13.22,PF,1613011107.0
13,yellowknife,62.456,-114.3525,-14.01,84.0,40.0,6.91,CA,1613011098.0
14,nouadhibou,20.931,-17.0347,62.6,82.0,0.0,5.75,MR,1613011696.0
15,xacmaz,41.4635,48.806,46.45,83.0,100.0,11.54,AZ,1613011697.0
16,aswan,24.0934,32.907,64.26,39.0,62.0,9.98,EG,1613011276.0
18,albany,42.6001,-73.9662,23.0,47.0,100.0,1.01,US,1613011701.0
19,bambous virieux,-20.3428,57.7575,80.01,71.0,27.0,7.0,MU,1613011480.0
20,berlevag,70.8578,29.0864,22.71,86.0,100.0,6.89,NO,1613011704.0
22,thompson,55.7435,-97.8558,-25.6,75.0,40.0,8.05,CA,1613011707.0
23,constitucion,-35.3333,-72.4167,61.3,92.0,78.0,1.99,CL,1613011353.0
24,tasiilaq,65.6145,-37.6368,6.8,61.0,20.0,4.61,GL,1613011402.0
25,nabire,-3.3667,135.4833,86.18,64.0,98.0,5.01,ID,1613011569.0
26,jamestown,42.097,-79.2353,19.0,86.0,90.0,8.05,US,1613011437.0
27,parakai,-36.65,174.4333,73.0,58.0,72.0,5.99,NZ,1613011713.0
28,busselton,-33.65,115.3333,64.99,66.0,69.0,3.0,AU,1613011714.0
29,matara,5.9485,80.5353,76.06,75.0,74.0,5.99,LK,1613011716.0
